,SYMBOL,COMPANY NAME
133,OIL.NS,Oil India Limited
134,BHARTIHEXA.NS,Bharti Hexacom Limited
135,PRESTIGE.NS,Prestige Estates Projects Limited
136,WAAREEENER.NS,Waaree Energies Limited
137,OBEROIRLTY.NS,Oberoi Realty Limited
138,KALYANKJIL.NS,Kalyan Jewellers India Limited
139,ALKEM.NS,Alkem Laboratories Limited
140,PIIND.NS,PI Industries Limited
141,IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited
142,SRF.NS,SRF Limited
143,BHARATFORG.NS,Bharat Forge Limited
144,NMDC.NS,NMDC Limited
145,JSWINFRA.NS,JSW Infrastructure Limited
146,LINDEINDIA.NS,Linde India Limited
147,GICRE.NS,General Insurance Corporation of India
148,SBICARD.NS,SBI Cards and Payment Services Limited
149,YESBANK.NS,Yes Bank Limited
150,PATANJALI.NS,Patanjali Foods Limited
151,BERGEPAINT.NS,Berger Paints (I) Limited
152,ASHOKLEY.NS,Ashok Leyland Limited
153,ABBOTINDIA.NS,Abbott India Limited
154,BSE.NS,BSE Limited
155,POWERINDIA.NS,Hitachi Energy India Limited
156,MPHASIS.NS,MphasiS Limited
157,IREDA.NS,Indian Renewable Energy Development Agency Limited
158,VOLTAS.NS,Voltas Limited
159,ABCAPITAL.NS,Aditya Birla Capital Limited
160,THERMAX.NS,Thermax Limited
161,PHOENIXLTD.NS,The Phoenix Mills Limited
162,JSL.NS,Jindal Stainless Limited
163,FACT.NS,Fertilizers and Chemicals Travancore Limited
164,SUPREMEIND.NS,Supreme Industries Limited
165,BALKRISIND.NS,Balkrishna Industries Limited
166,UNOMINDA.NS,UNO Minda Limited
167,MOTILALOFS.NS,Motilal Oswal Financial Services Limited
168,UCOBANK.NS,UCO Bank
169,LTTS.NS,L&T Technology Services Limited
170,SCHAEFFLER.NS,Schaeffler India Limited
172,IDEA.NS,Vodafone Idea Limited
173,SUNDARMFIN.NS,Sundaram Finance Limited
174,PGHH.NS,Procter & Gamble Hygiene and Health Care Limited
175,NYKAA.NS,FSN E-Commerce Ventures Limited
176,MRF.NS,MRF Limited
177,COFORGE.NS,Coforge Limited
178,UBL.NS,United Breweries Limited
179,TATACOMM.NS,Tata Communications Limited
180,CONCOR.NS,Container Corporation of India Limited
181,IDFCFIRSTB.NS,IDFC First Bank Limited
182,LLOYDSME.NS,Lloyds Metals And Energy Limited
183,FEDERALBNK.NS,The Federal Bank  Limited
185,PETRONET.NS,Petronet LNG Limited
186,BANKINDIA.NS,Bank of India
187,COROMANDEL.NS,Coromandel International Limited
188,PAGEIND.NS,Page Industries Limited
189,CENTRALBK.NS,Central Bank of India
190,SAIL.NS,Steel Authority of India Limited
191,PAYTM.NS,One 97 Communications Limited
192,GLENMARK.NS,Glenmark Pharmaceuticals Limited
193,ASTRAL.NS,Astral Limited
194,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited
195,FORTIS.NS,Fortis Healthcare Limited
196,AUBANK.NS,AU Small Finance Bank Limited
197,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited
199,PREMIERENE.NS,Premier Energies Limited
200,SJVN.NS,SJVN Limited
201,TATAELXSI.NS,Tata Elxsi Limited
202,AWL.NS,Adani Wilmar Limited
203,ACC.NS,ACC Limited
204,NAM-INDIA.NS,Nippon Life India Asset Management Limited
205,HUDCO.NS,Housing & Urban Development Corporation Limited
206,MFSL.NS,Max Financial Services Limited
207,SONACOMS.NS,Sona BLW Precision Forgings Limited
208,MAHABANK.NS,Bank of Maharashtra
209,NATIONALUM.NS,National Aluminium Company Limited
210,APLAPOLLO.NS,APL Apollo Tubes Limited
211,360ONE.NS,360 ONE WAM LIMITED
212,UPL.NS,UPL Limited
213,TATATECH.NS,Tata Technologies Limited
214,ESCORTS.NS,Escorts Kubota Limited
215,HONAUT.NS,Honeywell Automation India Limited
216,IPCALAB.NS,IPCA Laboratories Limited
217,EXIDEIND.NS,Exide Industries Limited
218,CRISIL.NS,CRISIL Limited
219,BDL.NS,Bharat Dynamics Limited
220,3MINDIA.NS,3M India Limited
221,BIOCON.NS,Biocon Limited
222,JUBLFOOD.NS,Jubilant Foodworks Limited
223,APARINDS.NS,Apar Industries Limited
224,KPITTECH.NS,KPIT Technologies Limited
225,AJANTPHARM.NS,Ajanta Pharma Limited
226,BLUESTARCO.NS,Blue Star Limited
227,DEEPAKNTR.NS,Deepak Nitrite Limited
228,LTF.NS,L&T Finance Limited
229,AIAENG.NS,AIA Engineering Limited
230,GUJGASLTD.NS,Gujarat Gas Limited
231,KEI.NS,KEI Industries Limited
232,PSB.NS,Punjab & Sind Bank
233,NLCINDIA.NS,NLC India Limited
234,LICHSGFIN.NS,LIC Housing Finance Limited
235,SYNGENE.NS,Syngene International Limited
236,DALBHARAT.NS,Dalmia Bharat Limited
237,GODREJIND.NS,Godrej Industries Limited
238,TATAINVEST.NS,Tata Investment Corporation Limited
239,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited
240,KAYNES.NS,Kaynes Technology India Limited
241,JKCEMENT.NS,JK Cement Limited
242,PPLPHARMA.NS,Piramal Pharma Limited
243,OLAELEC.NS,Ola Electric Mobility Limited
244,NIACL.NS,The New India Assurance Company Limited
245,ENDURANCE.NS,Endurance Technologies Limited
246,GODFRYPHLP.NS,Godfrey Phillips India Limited
247,ABFRL.NS,Aditya Birla Fashion and Retail Limited
248,MANYAVAR.NS,Vedant Fashions Limited
249,IRB.NS,IRB Infrastructure Developers Limited
250,MCX.NS,Multi Commodity Exchange of India Limited
251,SUVENPHAR.NS,Suven Pharmaceuticals Limited
252,RADICO.NS,Radico Khaitan Limited
253,METROBRAND.NS,Metro Brands Limited
254,GODIGIT.NS,Go Digit General Insurance Limited
255,GILLETTE.NS,Gillette India Limited
257,CDSL.NS,Central Depository Services (India) Limited
258,APOLLOTYRE.NS,Apollo Tyres Limited
259,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited
260,BASF.NS,BASF India Limited
261,KPRMILL.NS,K.P.R. Mill Limited
262,FIRSTCRY.NS,Brainbees Solutions Limited
263,STARHEALTH.NS,Star Health and Allied Insurance Company Limited
264,ABREL.NS,Aditya Birla Real Estate Limited
265,IGL.NS,Indraprastha Gas Limited
266,SUNTV.NS,Sun TV Network Limited
267,BRIGADE.NS,Brigade Enterprises Limited
268,JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited
269,EMAMILTD.NS,Emami Limited
270,MEDANTA.NS,Global Health Limited
271,POONAWALLA.NS,Poonawalla Fincorp Limited
272,TATACHEM.NS,Tata Chemicals Limited
273,BAYERCROP.NS,Bayer Cropscience Limited
274,BANDHANBNK.NS,Bandhan Bank Limited
275,INOXWIND.NS,Inox Wind Limited
276,ISEC.NS,ICICI Securities Limited
277,POLYMED.NS,Poly Medicure Limited
278,SUMICHEM.NS,Sumitomo Chemical India Limited
279,HINDCOPPER.NS,Hindustan Copper Limited
280,AIIL.NS,Authum Investment & Infrastructure Limited
281,HSCL.NS,Himadri Speciality Chemical Limited
282,SUNDRMFAST.NS,Sundram Fasteners Limited
283,AEGISLOG.NS,Aegis Logistics Limited
284,MSUMI.NS,Motherson Sumi Wiring India Limited
285,ANGELONE.NS,Angel One Limited
286,EMCURE.NS,Emcure Pharmaceuticals Limited
287,GLAND.NS,Gland Pharma Limited
288,CARBORUNIV.NS,Carborundum Universal Limited
289,ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited
290,DELHIVERY.NS,Delhivery Limited
291,NBCC.NS,NBCC (India) Limited
292,LAURUSLABS.NS,Laurus Labs Limited
293,MRPL.NS,Mangalore Refinery and Petrochemicals Limited
294,WHIRLPOOL.NS,Whirlpool of India Limited
295,TIMKEN.NS,Timken India Limited
296,RATNAMANI.NS,Ratnamani Metals & Tubes Limited
297,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.
298,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited
299,KEC.NS,KEC International Limited
300,SKFINDIA.NS,SKF India Limited
301,ARE&M.NS,Amara Raja Energy & Mobility Limited
302,NH.NS,Narayana Hrudayalaya Ltd.
303,NATCOPHARM.NS,Natco Pharma Limited
304,CESC.NS,CESC Limited
305,PEL.NS,Piramal Enterprises Limited
306,PNBHOUSING.NS,PNB Housing Finance Limited
307,NUVAMA.NS,Nuvama Wealth Management Limited
308,GRINDWELL.NS,Grindwell Norton Limited
309,JYOTICNC.NS,Jyoti CNC Automation Limited
310,ANANTRAJ.NS,Anant Raj Limited
311,HATSUN.NS,Hatsun Agro Product Limited
312,PFIZER.NS,Pfizer Limited
313,FSL.NS,Firstsource Solutions Limited
314,SHYAMMETL.NS,Shyam Metalics and Energy Limited
315,KANSAINER.NS,Kansai Nerolac Paints Limited
316,ATUL.NS,Atul Limited
317,EIHOTEL.NS,EIH Limited
318,FIVESTAR.NS,Five-Star Business Finance Limited
319,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited
320,TEJASNET.NS,Tejas Networks Limited
322,GSPL.NS,Gujarat State Petronet Limited
323,ASTERDM.NS,Aster DM Healthcare Limited
324,CAMS.NS,Computer Age Management Services Limited
325,KIMS.NS,Krishna Institute of Medical Sciences Limited
326,TRITURBINE.NS,Triveni Turbine Limited
327,APLLTD.NS,Alembic Pharmaceuticals Limited
328,BIKAJI.NS,Bikaji Foods International Limited
329,AFFLE.NS,Affle (India) Limited
330,CASTROLIND.NS,Castrol India Limited
331,RAMCOCEM.NS,The Ramco Cements Limited
332,KIOCL.NS,KIOCL Limited
333,JWL.NS,Jupiter Wagons Limited
334,KPIL.NS,Kalpataru Projects International Limited
335,AMBER.NS,Amber Enterprises India Limited
336,DEVYANI.NS,Devyani International Limited
337,CYIENT.NS,Cyient Limited
338,VINATIORGA.NS,Vinati Organics Limited
339,IRCON.NS,Ircon International Limited
340,JINDALSAW.NS,Jindal Saw Limited
341,SIGNATURE.NS,Signatureglobal (India) Limited
342,AADHARHFC.NS,Aadhar Housing Finance Limited
343,KAJARIACER.NS,Kajaria Ceramics Limited
344,JAIBALAJI.NS,Jai Balaji Industries Limited
345,ELGIEQUIP.NS,Elgi Equipments Limited
346,BBTC.NS,Bombay Burmah Trading Corporation Limited
347,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited
348,JYOTHYLAB.NS,Jyothy Labs Limited
349,CONCORDBIO.NS,Concord Biotech Limited
350,WELCORP.NS,Welspun Corp Limited
351,CENTURYPLY.NS,Century Plyboards (India) Limited
352,JBMA.NS,JBM Auto Limited
353,CIEINDIA.NS,CIE Automotive India Limited
354,RELAXO.NS,Relaxo Footwears Limited
355,BLUEDART.NS,Blue Dart Express Limited
356,AARTIIND.NS,Aarti Industries Limited
358,ASTRAZEN.NS,AstraZeneca Pharma India Limited
359,VGUARD.NS,V-Guard Industries Limited
360,GRSE.NS,Garden Reach Shipbuilders & Engineers Limited
361,GESHIP.NS,The Great Eastern Shipping Company Limited
362,NCC.NS,NCC Limited
363,CHALET.NS,Chalet Hotels Limited
364,FINCABLES.NS,Finolex Cables Limited
366,KARURVYSYA.NS,Karur Vysya Bank Limited
367,SCHNEIDER.NS,Schneider Electric Infrastructure Limited
368,FINPIPE.NS,Finolex Industries Limited
370,CELLO.NS,Cello World Limited
371,JUBLPHARMA.NS,Jubilant Pharmova Limited
372,IIFL.NS,IIFL Finance Limited
373,PTCIL.NS,PTC Industries Limited
374,NEULANDLAB.NS,Neuland Laboratories Limited
375,WOCKPHARMA.NS,Wockhardt Limited
376,ERIS.NS,Eris Lifesciences Limited
377,LMW.NS,LMW Limited
378,BATAINDIA.NS,Bata India Limited
379,TECHNOE.NS,Techno Electric & Engineering Company Limited
380,APTUS.NS,Aptus Value Housing Finance India Limited
381,CGCL.NS,Capri Global Capital Limited
382,AKZOINDIA.NS,Akzo Nobel India Limited
383,NEWGEN.NS,Newgen Software Technologies Limited
384,HFCL.NS,HFCL Limited
385,ASAHIINDIA.NS,Asahi India Glass Limited
386,TRIDENT.NS,Trident Limited
387,SONATSOFTW.NS,Sonata Software Limited
388,TBOTEK.NS,TBO Tek Limited
389,RRKABEL.NS,R R Kabel Limited
390,BEML.NS,BEML Limited
391,NAVINFLUOR.NS,Navin Fluorine International Limited
392,KFINTECH.NS,Kfin Technologies Limited
393,UTIAMC.NS,UTI Asset Management Company Limited
394,RKFORGE.NS,Ramkrishna Forgings Limited
395,PCBL.NS,PCBL LIMITED
396,ZENTEC.NS,Zen Technologies Limited
397,KIRLOSENG.NS,Kirloskar Oil Engines Limited
398,DCMSHRIRAM.NS,DCM Shriram Limited
399,ANANDRATHI.NS,Anand Rathi Wealth Limited
400,SOBHA.NS,Sobha Limited
401,TITAGARH.NS,TITAGARH RAIL SYSTEMS LIMITED
402,CLEAN.NS,Clean Science and Technology Limited
403,ZENSARTECH.NS,Zensar Technologies Limited
405,BSOFT.NS,BIRLASOFT LIMITED
406,CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED
407,IEX.NS,Indian Energy Exchange Limited
408,BLS.NS,BLS International Services Limited
409,SWANENERGY.NS,Swan Energy Limited
410,PGEL.NS,PG Electroplast Limited
411,DOMS.NS,DOMS Industries Limited
412,ACE.NS,Action Construction Equipment Limited
413,SARDAEN.NS,Sarda Energy & Minerals Limited
414,DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited
415,PVRINOX.NS,PVR INOX Limited
416,HBLPOWER.NS,HBL Power Systems Limited
417,INDIAMART.NS,Indiamart Intermesh Limited
418,SANOFI.NS,Sanofi India Limited
419,CAPLIPOINT.NS,Caplin Point Laboratories Limited
420,GRINFRA.NS,G R Infraprojects Limited
421,RAINBOW.NS,Rainbow Childrens Medicare Limited
422,IFCI.NS,IFCI Limited
423,NETWEB.NS,Netweb Technologies India Limited
424,INDGN.NS,Indegene Limited
425,FINEORG.NS,Fine Organic Industries Limited
426,WELSPUNLIV.NS,Welspun Living Limited
427,KIRLOSBROS.NS,Kirloskar Brothers Limited
428,REDINGTON.NS,Redington Limited
429,MGL.NS,Mahanagar Gas Limited
430,TTML.NS,Tata Teleservices (Maharashtra) Limited
431,EIDPARRY.NS,EID Parry India Limited
432,RITES.NS,RITES Limited
433,KSB.NS,Ksb Limited
434,STAR.NS,Strides Pharma Science Limited
435,ECLERX.NS,eClerx Services Limited
436,SPLPETRO.NS,Supreme Petrochem Limited
437,DATAPATTNS.NS,Data Patterns (India) Limited
438,AKUMS.NS,Akums Drugs and Pharmaceuticals Limited
439,NAVA.NS,NAVA LIMITED
440,GODREJAGRO.NS,Godrej Agrovet Limited
441,MANAPPURAM.NS,Manappuram Finance Limited
442,GRAVITA.NS,Gravita India Limited
443,NSLNISP.NS,NMDC Steel Limited
444,SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited
445,GRANULES.NS,Granules India Limited
446,RAYMONDLSL.NS,Raymond Lifestyle Limited
447,RAILTEL.NS,Railtel Corporation Of India Limited
448,INGERRAND.NS,Ingersoll Rand (India) Limited
449,OLECTRA.NS,Olectra Greentech Limited
450,BALRAMCHIN.NS,Balrampur Chini Mills Limited
451,JMFINANCIL.NS,JM Financial Limited
452,VTL.NS,Vardhman Textiles Limited
453,AAVAS.NS,Aavas Financiers Limited
454,LTFOODS.NS,LT Foods Limited
455,PRAJIND.NS,Praj Industries Limited
456,HONASA.NS,Honasa Consumer Limited
457,CUB.NS,City Union Bank Limited
458,USHAMART.NS,Usha Martin Limited
459,GENUSPOWER.NS,Genus Power Infrastructures Limited
460,MARKSANS.NS,Marksans Pharma Limited
461,JPPOWER.NS,Jaiprakash Power Ventures Limited
462,TEGA.NS,Tega Industries Limited
463,GLS.NS,Glenmark Life Sciences Limited
464,NETWORK18.NS,Network18 Media & Investments Limited
465,ELECON.NS,Elecon Engineering Company Limited
466,REDTAPE.NS,Redtape Limited
467,NUVOCO.NS,Nuvoco Vistas Corporation Limited
